id,label,atlas_mm3,left_mm3,right_mm3,retention_%,left_fragmented,right_fragmented,lr_volume_ratio,t1_mean_left,t1_mean_right,mirror_err_mm,compactness_l,compactness_r,t1_outlier_l,t1_outlier_r,gradient_l,gradient_r,bbox_fill_l,bbox_fill_r,glcm_homo_l,glcm_homo_r,consist_score,loo_dsc,quality_score,morph_flags,tier,tier_note
1,AD,9.0,9.0,2.0,61.1,True,True,4.5,0.181,0.189,1.4,0.894,0.0,0.222,0.0,0.51,0.841,0.375,0.125,—,—,0.359,0.187,0.102,LR asimetri 4.5x; Dusuk kompaktlik (0.00); T1 outlier yuksek (0.22); Hastalar arasi tutarsiz (CV skoru=0.36); Her iki hemisfer parcali,TIER-3,Guvenilmez — kucuk veya kotu propagate
2,AM,50.0,27.0,29.0,56.0,False,False,0.93,0.17,0.724,0.7,0.773,0.684,0.037,0.035,0.704,0.675,0.225,0.201,—,—,0.718,0.479,0.646,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
3,AV,292.0,209.0,194.0,69.0,False,False,1.08,0.536,0.626,0.7,0.669,0.615,0.124,0.093,0.503,0.426,0.323,0.254,—,—,0.736,0.657,0.841,T1 outlier orta (0.12),TIER-1,Guvenilir — uzman dogrulamasi onerilir
4,CL,884.0,628.0,582.0,68.4,False,False,1.08,0.673,0.558,0.1,0.367,0.368,0.181,0.265,0.326,0.346,0.15,0.162,0.999,0.998,0.8,0.528,0.798,T1 outlier yuksek (0.26),TIER-1,Guvenilir — uzman dogrulamasi onerilir
5,CM,308.0,264.0,239.0,81.7,False,False,1.1,0.967,1.053,0.1,0.717,0.743,0.038,0.075,0.143,0.18,0.275,0.292,0.999,0.999,0.852,0.623,0.865,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
6,CeM,154.0,90.0,126.0,70.1,False,False,0.71,0.967,1.019,0.5,0.56,0.588,0.067,0.016,0.258,0.223,0.192,0.231,—,—,0.696,0.467,0.754,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
7,Hb,51.0,29.0,28.0,55.9,False,False,1.04,-0.585,-0.535,0.1,0.869,0.866,0.103,0.143,0.54,0.556,0.403,0.389,—,—,0.622,0.45,0.527,Sol T1 yogunluk dusuk (-0.59); Sag T1 yogunluk dusuk (-0.54); T1 outlier orta (0.14),TIER-2,Belirsiz  — dikkatli inceleme gerekli
8,LD,164.0,115.0,112.0,69.2,False,False,1.03,0.277,0.091,0.2,0.57,0.546,0.035,0.17,0.488,0.557,0.128,0.118,—,—,0.606,0.445,0.713,T1 outlier yuksek (0.17),TIER-1,Guvenilir — uzman dogrulamasi onerilir
9,LGNmc,77.0,84.0,70.0,100.0,False,False,1.2,0.651,0.74,0.5,0.508,0.487,0.059,0.057,0.404,0.528,0.17,0.162,—,—,0.826,0.378,0.68,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
10,LGNpc,185.0,203.0,164.0,99.2,False,False,1.24,1.031,1.062,0.4,0.658,0.674,0.246,0.226,0.295,0.347,0.342,0.273,—,—,0.852,0.612,0.818,T1 outlier yuksek (0.25),TIER-1,Guvenilir — uzman dogrulamasi onerilir
