label,side,min_dist_mm,mean_dist_mm,max_dist_mm,vessel_overlap_voxels
AD,left,109.11,110.75,112.47,0
AD,right,107.0,108.24,109.84,0
AM,left,25.08,144.7,273.01,0
AM,right,114.77,116.8,118.5,0
AV,left,107.0,113.81,120.57,0
AV,right,103.37,110.0,116.4,0
CL,left,103.6,109.2,118.6,0
CL,right,95.68,103.27,115.26,0
CM,left,110.8,114.08,117.82,0
CM,right,102.88,107.13,113.11,0
CeM,left,113.2,118.06,122.13,0
CeM,right,111.78,115.15,118.69,0
Hb,left,108.85,110.23,111.99,0
Hb,right,25.02,145.98,273.4,0
LD,left,25.2,138.67,272.26,0
LD,right,25.5,133.06,266.75,0
LGNmc,left,25.65,137.73,266.32,0
LGNmc,right,25.65,138.42,266.32,0
LGNpc,left,118.87,123.79,128.03,0
LGNpc,right,101.7,105.86,110.17,0
LP,left,103.57,107.59,111.53,0
LP,right,90.65,95.38,100.3,0
Li,left,26.25,127.84,266.45,0
Li,right,101.52,105.45,108.93,0
MAX_VOLUME,left,103.62,113.1,128.38,0
MAX_VOLUME,right,91.51,104.14,118.79,0
MDmc,left,25.2,136.66,273.01,0
MDmc,right,106.66,110.8,115.16,0
MDpc,left,105.92,111.41,118.0,0
MDpc,right,99.62,107.31,115.78,0
MGN,left,114.8,118.1,122.9,0
MGN,right,101.91,106.31,110.3,0
MV,left,117.87,119.36,120.9,0
MV,right,115.87,117.42,118.77,0
Pf,left,110.77,114.86,119.35,0
Pf,right,105.85,110.41,115.3,0
Po,left,25.77,130.2,266.32,0
Po,right,27.33,129.81,263.73,0
PuA,left,107.47,112.06,115.49,0
PuA,right,96.43,101.61,106.98,0
PuI,left,27.37,135.82,261.66,0
PuI,right,27.37,138.25,264.09,0
PuL,left,109.46,115.08,119.92,0
PuL,right,91.5,97.54,103.35,0
PuM,left,103.57,109.59,118.4,0
PuM,right,91.22,98.64,105.26,0
Pv,left,114.74,116.48,117.99,0
Pv,right,113.26,114.1,114.9,0
RN,left,117.65,121.52,125.57,0
RN,right,112.61,116.8,121.44,0
SG,left,113.66,115.62,118.07,0
SG,right,103.37,105.85,107.5,0
STh,left,120.31,124.27,128.33,0
STh,right,109.88,115.59,120.88,0
VAmc,left,26.7,134.27,263.73,0
VAmc,right,26.7,133.08,263.73,0
VApc,left,114.31,119.51,123.99,0
VApc,right,106.51,112.66,119.21,0
VLa,left,113.67,118.14,121.14,0
VLa,right,102.86,108.41,113.79,0
VLpd,left,105.38,111.1,116.04,0
VLpd,right,94.89,101.97,110.0,0
VLpv,left,110.72,116.33,119.92,0
VLpv,right,99.03,106.62,113.96,0
VM,left,34.37,134.9,251.84,0
VM,right,27.46,130.21,251.19,0
VPI,left,26.7,128.17,262.92,0
VPI,right,26.7,128.03,262.92,0
VPLa,left,27.33,127.9,262.02,0
VPLa,right,29.07,128.12,263.73,0
VPLp,left,105.38,112.38,118.53,0
VPLp,right,94.29,100.11,107.21,0
VPM,left,26.94,128.26,263.23,0
VPM,right,102.22,107.8,113.66,0
global,left,103.62,113.1,128.38,0
global,right,91.51,104.14,118.79,0
mtt,left,26.7,138.46,263.23,0
mtt,right,27.46,135.17,261.71,0
sPf,left,117.0,117.64,118.44,0
sPf,right,111.29,112.56,113.87,0
thalamus_body,left,114.34,117.97,122.9,0
thalamus_body,right,101.91,106.33,110.3,0
