label,side,min_dist_mm,mean_dist_mm,max_dist_mm,vessel_overlap_voxels
AD,left,78.24,80.19,81.84,0
AD,right,79.88,80.86,81.84,0
AM,left,73.11,75.04,77.23,0
AM,right,73.0,75.08,77.99,0
AV,left,71.22,77.22,85.76,0
AV,right,71.61,77.05,84.91,0
CL,left,75.6,89.21,98.11,0
CL,right,0.0,82.04,172.0,118
CM,left,90.43,94.08,96.54,0
CM,right,90.27,94.11,96.54,0
CeM,left,0.0,78.98,171.0,42
CeM,right,0.0,76.89,166.93,15
Hb,left,90.91,93.36,96.43,0
Hb,right,90.91,93.44,96.43,0
LD,left,0.0,81.05,180.0,366
LD,right,0.0,79.27,180.0,511
LGNmc,left,0.0,81.51,179.0,268
LGNmc,right,0.0,80.93,179.0,244
LGNpc,left,86.27,90.56,95.59,0
LGNpc,right,86.27,90.64,95.59,0
LP,left,90.92,95.47,98.11,0
LP,right,89.69,94.91,98.11,0
Li,left,87.21,89.57,92.96,0
Li,right,87.21,90.33,94.26,0
MAX_VOLUME,left,72.47,88.59,98.11,0
MAX_VOLUME,right,72.47,88.4,97.75,0
MDmc,left,0.0,77.29,170.0,14
MDmc,right,0.0,78.21,172.0,17
MDpc,left,78.24,88.85,96.83,0
MDpc,right,78.1,88.2,96.8,0
MGN,left,84.96,88.76,92.76,0
MGN,right,82.81,88.31,92.7,0
MV,left,80.66,83.41,85.7,0
MV,right,79.93,83.01,85.7,0
Pf,left,87.86,93.27,96.43,0
Pf,right,87.21,92.79,96.33,0
Po,left,0.0,77.25,170.0,17
Po,right,0.0,76.6,172.0,15
PuA,left,89.27,94.41,97.1,0
PuA,right,90.03,94.41,96.83,0
PuI,left,0.0,76.62,160.43,10
PuI,right,0.0,78.69,172.0,65
PuL,left,84.5,90.38,95.6,0
PuL,right,85.04,89.96,95.43,0
PuM,left,83.1,90.1,97.75,0
PuM,right,83.24,89.98,97.42,0
Pv,left,79.4,80.67,81.84,0
Pv,right,-1.0,-1.0,-1.0,0
RN,left,87.69,93.1,96.05,0
RN,right,87.73,93.04,96.05,0
SG,left,85.7,87.8,89.94,0
SG,right,86.37,88.07,89.87,0
STh,left,84.15,89.84,95.67,0
STh,right,84.85,90.62,95.78,0
VAmc,left,0.0,77.75,172.0,31
VAmc,right,0.0,76.73,159.66,19
VApc,left,72.62,78.3,84.29,0
VApc,right,72.35,78.12,84.39,0
VLa,left,78.01,83.92,90.91,0
VLa,right,78.6,84.35,90.27,0
VLpd,left,76.03,84.33,91.59,0
VLpd,right,75.45,83.9,92.11,0
VLpv,left,76.4,87.48,96.21,0
VLpv,right,76.4,87.8,96.05,0
VM,left,80.66,88.21,95.9,0
VM,right,80.66,88.8,95.9,0
VPI,left,0.0,75.98,159.66,9
VPI,right,0.0,76.86,160.43,13
VPLa,left,0.0,76.05,154.5,3
VPLa,right,0.0,76.35,158.67,6
VPLp,left,86.95,93.24,96.83,0
VPLp,right,87.46,93.63,96.83,0
VPM,left,89.38,93.85,96.33,0
VPM,right,90.14,93.94,96.26,0
global,left,72.47,88.59,98.11,0
global,right,72.47,88.4,97.75,0
mtt,left,82.07,86.13,89.11,0
mtt,right,76.22,84.09,88.46,0
sPf,left,88.62,91.91,96.05,0
sPf,right,89.27,92.67,95.9,0
thalamus_body,left,84.96,88.81,92.85,0
thalamus_body,right,83.45,88.46,92.7,0
