label,side,min_dist_mm,mean_dist_mm,max_dist_mm,vessel_overlap_voxels
AD,left,193.59,194.39,195.01,0
AD,right,196.19,196.74,197.42,0
AM,left,194.31,196.19,198.08,0
AM,right,196.06,198.68,201.88,0
AV,left,190.89,195.85,199.28,0
AV,right,196.09,199.95,203.6,0
CL,left,175.07,184.66,195.14,0
CL,right,182.36,191.11,199.12,0
CM,left,174.18,178.89,184.43,0
CM,right,182.71,187.5,190.93,0
CeM,left,184.07,189.73,195.46,0
CeM,right,186.6,192.43,197.82,0
Hb,left,177.23,179.97,182.39,0
Hb,right,180.76,182.77,184.54,0
LD,left,180.36,186.91,192.28,0
LD,right,190.12,194.11,198.44,0
LGNmc,left,161.87,165.87,169.19,0
LGNmc,right,186.67,189.34,192.92,0
LGNpc,left,161.87,166.87,170.29,0
LGNpc,right,187.18,190.26,194.14,0
LP,left,171.88,178.58,186.02,0
LP,right,188.93,192.99,198.39,0
Li,left,171.18,174.76,179.19,0
Li,right,180.52,182.59,184.72,0
MAX_VOLUME,left,161.87,180.62,199.28,0
MAX_VOLUME,right,177.93,191.55,205.48,0
MDmc,left,182.76,188.15,193.26,0
MDmc,right,185.25,189.74,194.68,0
MDpc,left,179.19,186.49,194.45,0
MDpc,right,184.2,191.2,196.94,0
MGN,left,165.78,168.79,171.76,0
MGN,right,180.65,185.53,190.56,0
MV,left,187.37,189.68,192.15,0
MV,right,190.27,191.94,194.03,0
Pf,left,175.18,180.53,186.17,0
Pf,right,182.67,185.67,189.11,0
Po,left,169.4,172.04,174.8,0
Po,right,183.67,185.54,188.35,0
PuA,left,172.48,176.38,180.72,0
PuA,right,184.5,188.99,192.07,0
PuI,left,162.46,164.56,167.48,0
PuI,right,184.73,186.85,189.4,0
PuL,left,162.6,167.78,173.32,0
PuL,right,186.3,190.04,193.8,0
PuM,left,162.76,171.67,182.29,0
PuM,right,178.13,185.48,192.98,0
Pv,left,191.73,192.52,193.53,0
Pv,right,192.82,192.82,192.82,0
RN,left,171.72,176.52,181.45,0
RN,right,177.93,182.55,187.37,0
SG,left,168.69,170.53,173.01,0
SG,right,181.23,183.35,185.81,0
STh,left,175.75,180.51,184.93,0
STh,right,187.56,191.04,195.19,0
VAmc,left,186.9,191.18,196.18,0
VAmc,right,192.43,197.49,201.24,0
VApc,left,185.98,192.31,197.43,0
VApc,right,193.7,200.58,205.48,0
VLa,left,180.6,186.38,191.65,0
VLa,right,192.07,197.89,203.24,0
VLpd,left,181.43,189.31,196.4,0
VLpd,right,195.03,199.72,204.96,0
VLpv,left,174.81,184.24,194.76,0
VLpv,right,189.65,195.58,201.2,0
VM,left,178.07,183.72,187.74,0
VM,right,188.63,192.2,197.4,0
VPI,left,171.28,172.94,174.67,0
VPI,right,185.69,188.54,191.63,0
VPLa,left,174.55,178.36,183.0,0
VPLa,right,190.45,194.07,197.01,0
VPLp,left,170.91,178.8,189.26,0
VPLp,right,188.78,193.54,198.5,0
VPM,left,173.18,177.69,183.27,0
VPM,right,185.24,189.01,193.05,0
global,left,161.87,180.62,199.28,0
global,right,177.93,191.55,205.48,0
mtt,left,182.99,188.05,195.05,0
mtt,right,186.82,192.09,200.15,0
sPf,left,178.38,180.96,184.07,0
sPf,right,184.79,186.02,188.28,0
thalamus_body,left,165.78,168.83,171.76,0
thalamus_body,right,180.65,185.54,190.56,0
