label,side,min_dist_mm,mean_dist_mm,max_dist_mm,vessel_overlap_voxels
AD,left,213.21,213.81,214.73,0
AD,right,215.87,216.5,217.13,0
AM,left,211.78,213.92,216.04,0
AM,right,213.3,216.12,218.3,0
AV,left,210.89,214.63,218.41,0
AV,right,214.58,218.17,221.78,0
CL,left,194.59,204.73,214.46,0
CL,right,201.85,211.07,218.23,0
CM,left,192.74,197.52,202.53,0
CM,right,201.24,205.84,210.25,0
CeM,left,72.76,201.94,289.22,0
CeM,right,74.14,203.31,289.22,0
Hb,left,196.02,198.57,201.27,0
Hb,right,199.73,201.93,204.68,0
LD,left,71.67,194.85,289.63,0
LD,right,71.67,195.32,289.59,0
LGNmc,left,72.02,200.29,289.33,0
LGNmc,right,203.89,205.86,208.24,0
LGNpc,left,181.25,185.33,189.22,0
LGNpc,right,204.69,207.55,210.67,0
LP,left,193.1,199.57,206.67,0
LP,right,209.11,213.41,218.79,0
Li,left,188.79,192.8,198.18,0
Li,right,72.76,201.98,289.22,0
MAX_VOLUME,left,182.0,199.77,217.7,0
MAX_VOLUME,right,197.84,210.85,223.87,0
MDmc,left,201.3,207.09,212.72,0
MDmc,right,72.76,202.54,289.21,0
MDpc,left,198.71,205.6,213.18,0
MDpc,right,203.25,210.23,216.19,0
MGN,left,184.47,187.65,191.89,0
MGN,right,197.77,201.81,206.0,0
MV,left,205.22,207.39,209.52,0
MV,right,208.68,209.54,210.4,0
Pf,left,192.91,198.39,204.5,0
Pf,right,73.44,201.09,289.33,0
Po,left,72.67,202.92,289.32,0
Po,right,74.12,203.08,289.32,0
PuA,left,191.12,196.18,202.02,0
PuA,right,76.17,204.26,289.15,0
PuI,left,181.82,183.88,187.03,0
PuI,right,202.89,204.81,206.95,0
PuL,left,182.13,187.81,193.35,0
PuL,right,203.99,208.72,213.71,0
PuM,left,183.38,192.35,202.97,0
PuM,right,197.84,205.18,212.23,0
Pv,left,209.59,210.2,210.87,0
Pv,right,210.73,211.57,212.42,0
RN,left,187.73,193.21,198.31,0
RN,right,194.62,198.94,204.19,0
SG,left,188.16,189.5,191.53,0
SG,right,198.62,201.57,204.27,0
STh,left,192.86,196.92,202.2,0
STh,right,203.08,207.58,212.36,0
VAmc,left,74.69,200.61,289.17,0
VAmc,right,74.69,200.76,289.17,0
VApc,left,204.54,210.23,214.77,0
VApc,right,210.49,218.34,224.98,0
VLa,left,198.01,205.42,211.54,0
VLa,right,210.29,216.19,222.53,0
VLpd,left,201.91,208.62,214.92,0
VLpd,right,214.56,218.98,223.34,0
VLpv,left,193.36,203.16,212.95,0
VLpv,right,207.03,213.71,219.8,0
VM,left,77.74,200.44,288.73,0
VM,right,78.57,201.49,288.8,0
VPI,left,189.84,191.96,193.74,0
VPI,right,203.57,206.58,209.91,0
VPLa,left,75.05,201.94,289.04,0
VPLa,right,74.73,200.76,289.01,0
VPLp,left,190.92,199.51,209.39,0
VPLp,right,206.85,212.64,218.32,0
VPM,left,189.18,196.25,202.53,0
VPM,right,80.44,200.43,288.93,0
global,left,182.0,199.77,217.7,0
global,right,197.84,210.85,223.87,0
mtt,left,74.97,200.81,289.17,0
mtt,right,74.69,200.84,289.17,0
sPf,left,195.33,198.0,201.67,0
sPf,right,202.21,204.36,207.1,0
thalamus_body,left,184.47,187.83,191.89,0
thalamus_body,right,197.77,202.05,206.69,0
