label,side,min_dist_mm,mean_dist_mm,max_dist_mm,vessel_overlap_voxels
AD,left,214.0,214.3,214.73,0
AD,right,215.44,215.99,216.7,0
AM,left,212.08,214.33,216.23,0
AM,right,213.88,216.55,218.88,0
AV,left,211.83,215.43,218.59,0
AV,right,215.32,218.74,222.32,0
CL,left,195.87,205.31,214.01,0
CL,right,201.1,210.36,217.67,0
CM,left,193.01,198.25,202.4,0
CM,right,199.94,204.48,208.18,0
CeM,left,200.42,206.61,212.72,0
CeM,right,204.02,209.74,215.7,0
Hb,left,195.94,198.65,201.18,0
Hb,right,198.24,200.2,202.52,0
LD,left,201.44,208.8,213.71,0
LD,right,212.09,214.69,217.85,0
LGNmc,left,181.06,184.43,186.37,0
LGNmc,right,204.04,206.07,209.86,0
LGNpc,left,181.06,185.42,187.93,0
LGNpc,right,203.89,207.01,209.99,0
LP,left,193.26,200.16,207.82,0
LP,right,209.1,213.2,218.31,0
Li,left,190.07,194.11,198.52,0
Li,right,197.99,199.99,202.15,0
MAX_VOLUME,left,181.06,200.11,218.59,0
MAX_VOLUME,right,196.0,209.67,223.97,0
MDmc,left,200.8,207.1,211.88,0
MDmc,right,202.86,207.79,212.7,0
MDpc,left,199.05,206.38,213.29,0
MDpc,right,202.2,209.52,215.7,0
MGN,left,184.39,187.69,191.74,0
MGN,right,196.92,201.83,207.88,0
MV,left,205.22,207.12,209.36,0
MV,right,206.97,207.54,208.12,0
Pf,left,193.54,199.02,204.09,0
Pf,right,199.97,202.5,206.42,0
Po,left,189.12,191.33,193.22,0
Po,right,200.71,202.54,205.84,0
PuA,left,192.48,196.85,202.24,0
PuA,right,201.62,206.33,210.08,0
PuI,left,182.19,184.22,187.41,0
PuI,right,202.35,204.16,206.41,0
PuL,left,182.63,188.61,195.27,0
PuL,right,203.59,208.12,212.42,0
PuM,left,183.24,192.42,202.92,0
PuM,right,196.0,204.17,212.0,0
Pv,left,210.17,210.64,211.45,0
Pv,right,210.02,211.55,212.99,0
RN,left,186.87,193.03,198.9,0
RN,right,192.85,197.99,203.12,0
SG,left,187.64,189.46,191.32,0
SG,right,197.6,200.02,202.22,0
STh,left,191.93,197.16,202.4,0
STh,right,202.54,206.2,210.26,0
VAmc,left,205.12,209.09,213.94,0
VAmc,right,209.12,213.73,218.41,0
VApc,left,204.9,210.8,215.93,0
VApc,right,210.07,217.47,223.97,0
VLa,left,198.64,205.29,211.37,0
VLa,right,208.43,214.85,221.28,0
VLpd,left,202.27,209.9,215.87,0
VLpd,right,213.64,218.67,223.88,0
VLpv,left,193.03,203.42,214.5,0
VLpv,right,205.92,212.52,218.55,0
VM,left,196.07,201.82,206.29,0
VM,right,204.61,208.43,213.45,0
VPI,left,189.36,191.85,194.4,0
VPI,right,201.86,205.31,208.89,0
VPLa,left,193.51,198.29,203.58,0
VPLa,right,206.67,211.21,214.99,0
VPLp,left,191.14,199.32,210.68,0
VPLp,right,205.47,211.42,218.23,0
VPM,left,191.46,196.6,202.24,0
VPM,right,201.72,205.65,210.21,0
global,left,181.06,200.11,218.59,0
global,right,196.0,209.67,223.97,0
mtt,left,199.75,205.65,214.19,0
mtt,right,203.09,208.97,218.53,0
sPf,left,196.35,199.58,202.52,0
sPf,right,201.2,203.51,206.18,0
thalamus_body,left,184.39,187.76,191.74,0
thalamus_body,right,196.92,201.82,207.88,0
