label,side,min_dist_mm,mean_dist_mm,max_dist_mm,vessel_overlap_voxels
AD,left,79.06,80.49,81.84,0
AD,right,79.32,80.62,81.84,0
AM,left,73.76,75.8,78.1,0
AM,right,73.11,75.32,78.1,0
AV,left,72.62,77.59,85.23,0
AV,right,72.62,77.57,85.76,0
CL,left,76.84,89.97,97.75,0
CL,right,76.84,89.95,97.42,0
CM,left,90.14,94.13,96.43,0
CM,right,90.14,94.18,96.43,0
CeM,left,77.01,83.64,92.2,0
CeM,right,76.84,83.99,92.2,0
Hb,left,92.76,94.98,96.33,0
Hb,right,92.1,94.59,96.33,0
LD,left,83.01,90.46,96.75,0
LD,right,83.53,90.74,97.75,0
LGNmc,left,87.68,90.76,94.79,0
LGNmc,right,86.98,90.54,94.85,0
LGNpc,left,87.68,91.51,95.48,0
LGNpc,right,87.68,91.03,94.79,0
LP,left,90.05,95.29,98.11,0
LP,right,89.36,94.91,98.11,0
Li,left,87.86,91.34,95.59,0
Li,right,87.78,91.5,96.26,0
MAX_VOLUME,left,72.62,88.73,98.11,0
MAX_VOLUME,right,72.62,88.63,97.75,0
MDmc,left,80.8,87.8,94.2,0
MDmc,right,81.22,87.68,94.2,0
MDpc,left,77.62,88.53,96.33,0
MDpc,right,78.24,88.24,96.26,0
MGN,left,84.86,88.96,93.43,0
MGN,right,85.59,89.36,94.11,0
MV,left,80.66,83.61,86.37,0
MV,right,83.49,84.76,86.37,0
Pf,left,89.27,93.72,96.26,0
Pf,right,89.27,93.71,96.26,0
Po,left,89.2,91.36,93.38,0
Po,right,89.2,91.48,93.38,0
PuA,left,92.1,95.19,96.8,0
PuA,right,91.35,95.03,96.54,0
PuI,left,85.59,87.11,89.83,0
PuI,right,85.04,87.23,89.87,0
PuL,left,85.15,91.04,96.83,0
PuL,right,85.28,90.41,96.05,0
PuM,left,82.46,90.26,97.75,0
PuM,right,82.8,90.24,97.42,0
Pv,left,79.51,81.34,83.1,0
Pv,right,79.51,81.61,83.41,0
RN,left,89.27,93.51,95.9,0
RN,right,89.27,93.5,95.9,0
SG,left,87.05,89.06,91.29,0
SG,right,87.73,89.07,90.55,0
STh,left,84.86,89.54,94.92,0
STh,right,84.86,90.13,95.59,0
VAmc,left,75.43,80.19,85.04,0
VAmc,right,75.29,79.66,85.04,0
VApc,left,73.25,78.33,85.04,0
VApc,right,73.25,78.08,84.39,0
VLa,left,78.6,84.11,90.27,0
VLa,right,78.6,83.99,90.14,0
VLpd,left,76.28,83.8,91.07,0
VLpd,right,75.45,83.75,90.74,0
VLpv,left,77.62,87.16,95.43,0
VLpv,right,77.01,87.1,95.9,0
VM,left,82.22,88.01,93.72,0
VM,right,82.22,88.13,93.72,0
VPI,left,91.93,93.95,96.21,0
VPI,right,91.92,93.91,96.05,0
VPLa,left,89.31,92.67,96.21,0
VPLa,right,89.05,92.58,95.6,0
VPLp,left,86.45,93.0,96.8,0
VPLp,right,86.95,93.07,96.54,0
VPM,left,90.14,93.9,96.26,0
VPM,right,90.14,93.81,96.26,0
global,left,72.62,88.73,98.11,0
global,right,72.62,88.63,97.75,0
mtt,left,82.88,86.83,89.11,0
mtt,right,76.22,84.38,89.11,0
sPf,left,89.27,92.35,95.13,0
sPf,right,89.27,93.56,95.78,0
thalamus_body,left,84.86,89.05,94.11,0
thalamus_body,right,85.59,90.26,97.75,0
